VDS,ID,Latitude,Longitude,Average_Flow
715938,1,34.002541,-118.150997,427 
716036,2,34.034311,-118.384884,376 
716067,3,34.054801,-118.211859,160 
716081,4,34.059959,-118.174416,289 
716085,5,34.061918,-118.162504,326 
716237,6,34.031123,-118.02136,523 
716265,7,33.998463,-117.856533,334 
716296,8,33.876767,-118.177981,488 
716339,9,34.078365,-118.288977,293 
716421,10,33.926392,-118.304528,395 
716422,11,33.926754,-118.304542,384 
716433,12,33.927289,-118.263121,362 
716434,13,33.927654,-118.263124,344 
716440,14,33.929161,-118.226832,284 
716663,15,33.858551,-118.287766,356 
716689,16,33.906863,-118.370302,520 
716841,17,34.114761,-117.977832,256 
716891,18,34.014955,-118.172721,266 
716916,19,33.956897,-118.110532,427 
716922,20,33.986224,-118.136014,355 
716933,21,34.020076,-118.181702,469 
716958,22,34.111314,-118.264526,405 
716968,23,34.165484,-118.29753,380 
716989,24,34.221104,-118.358957,87 
716991,25,34.221822,-118.364915,87 
716997,26,34.227093,-118.389006,87 
717004,27,34.245149,-118.422992,483 
717009,28,34.029516,-118.403014,382 
717047,29,34.055356,-118.216546,150 
717065,30,34.060186,-118.174504,292 
717091,31,34.071819,-118.12204,346 
717108,32,34.072192,-118.100669,381 
717125,33,34.072457,-118.074173,340 
717135,34,34.072661,-118.059491,574 
717142,35,34.069271,-118.044184,345 
717152,36,34.067963,-118.027743,283 
717165,37,34.06769,-117.980138,317 
717269,38,34.032661,-118.182471,380 
717292,39,34.039225,-118.081093,380 
717340,40,33.994088,-117.906225,322 
717387,41,33.873361,-118.213213,326 
717388,42,33.873559,-118.213194,362 
717424,43,33.87621,-118.126705,412 
717428,44,33.876536,-118.084783,437 
717458,45,34.082786,-118.297762,317 
717463,46,34.090089,-118.305929,380 
717481,47,34.106229,-118.328138,333 
717497,48,34.156829,-118.415379,440 
717498,49,34.155725,-118.432994,448 
717508,50,34.171108,-118.517031,470 
717549,51,34.281753,-118.681653,233 
717553,52,34.28145,-118.678709,226 
717613,53,34.219986,-118.409792,87 
717661,54,34.148876,-118.066773,390 
717672,55,34.146752,-118.029146,377 
717678,56,34.120999,-117.908877,393 
717717,57,33.814416,-118.177538,564 
717760,58,33.8919,-118.362464,442 
717799,59,34.065808,-118.460396,472 
717818,60,34.172831,-118.467569,338 
717824,61,34.220042,-118.473313,347 
717836,62,33.830383,-118.083453,87 
717857,63,33.881766,-118.103878,380 
717862,64,33.888287,-118.10455,373 
717864,65,33.909354,-118.104924,289 
717926,66,34.01677,-118.05412,380 
717947,67,34.051776,-118.005858,374 
717957,68,34.114904,-117.97806,278 
717983,69,33.931754,-118.178439,387 
718047,70,34.121259,-117.830969,268 
718064,71,34.112548,-118.245533,262 
718072,72,34.148241,-118.225967,128 
718130,73,33.873486,-118.259531,334 
718141,74,34.151437,-118.374683,194 
718142,75,34.17043,-118.60432,363 
718144,76,34.169734,-118.611241,279 
718164,77,33.989159,-118.280238,227 
718166,78,34.03711,-118.274257,437 
718243,79,33.814807,-118.183838,471 
718262,80,33.85998,-118.31095,407 
718287,81,33.971543,-118.377669,382 
718300,82,34.046105,-118.44607,409 
718320,83,34.000423,-118.174959,383 
718356,84,34.091335,-117.819352,295 
718389,85,34.244193,-118.42169,483 
718404,86,34.320108,-118.4945,360 
718414,87,34.033976,-118.361349,418 
737184,88,34.036842,-118.298268,378 
737257,89,34.02693,-118.459319,290 
759172,90,34.341011,-118.522527,380 
759257,91,34.016298,-118.483358,190 
759427,92,33.932781,-118.368223,301 
759654,93,34.408287,-118.576071,87 
759822,94,34.271236,-118.448172,347 
